--2016-05-25 01:36:19--  http://10.30.50.93:8000/
Connecting to 10.30.50.93:8000... connected.
HTTP request sent, awaiting response... 200 OK
Length: 13193358 (13M) [text/html]
Saving to: ‘index.html.2’

 12300K .......... .......... .......... .......... .......... 95%  238K 2s
 12350K .......... .......... .......... .......... .......... 96%  182K 2s
 12400K .......... .......... .......... .......... .......... 96%  307K 2s
 12450K .......... .......... .......... .......... .......... 97%  185K 2s
 12500K .......... .......... .......... .......... .......... 97%  310K 1s
 12550K .......... .......... .......... .......... .......... 97%  238K 1s
 12600K .......... .......... .......... .......... .......... 98%  239K 1s
 12650K .......... .......... .......... .......... .......... 98%  213K 1s
 12700K .......... .......... .......... .......... .......... 98%  252K 1s
 12750K .......... .......... .......... .......... .......... 99%  232K 0s
 12800K .......... .......... .......... .......... .......... 99%  237K 0s
 12850K .......... .......... .......... ....                 100%  248K=55s

2016-05-25 01:37:14 (234 KB/s) - ‘index.html.2’ saved [13193358/13193358]

